case_id,title,symptom,topology_note,show_output,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix,verification
CASE-014,Interface protocol down,Router link is unavailable,R1 connected to R2,Interface status is up but line protocol is down,Layer 1 interface problem,Layer 1,Interface,High,show interfaces,Check cable/interface configuration,Link becomes up/up
CASE-015,Missing default route,Router cannot reach external network,R1 connects LAN to upstream router,Default route is absent,Missing default route,Layer 3,Routing,Medium,show ip route,Configure default route,External destination becomes reachable
CASE-016,DHCP pool exhausted,New PC does not receive an IP address,Multiple PCs connected to DHCP-enabled network,DHCP pool has no available addresses,DHCP pool exhaustion,Layer 7,DHCP,High,show running-config,Expand or correct DHCP pool,New PC receives IP
CASE-017,DHCP wrong network,PC receives incorrect IP range,PC connected to VLAN 20,DHCP pool network does not match VLAN subnet,Incorrect DHCP network,Layer 7,DHCP,High,show running-config,Correct DHCP pool network,PC receives correct subnet
CASE-018,DHCP gateway missing,PC gets IP but cannot reach remote networks,PC receives address from R1,DHCP pool has no default-router option,Missing DHCP default gateway,Layer 7,DHCP,High,show running-config,Configure correct default-router,PC reaches gateway and remote networks
CASE-019,DHCP excluded range issue,Some addresses are unexpectedly unavailable,Router provides DHCP service,Too many addresses are excluded from DHCP pool,Incorrect DHCP exclusions,Layer 7,DHCP,Medium,show running-config,Correct excluded-address configuration,Clients receive addresses
CASE-020,DHCP server unreachable,PC does not receive DHCP address,PC and DHCP server are in different VLANs,DHCP relay/helper configuration is missing,Missing DHCP relay,Layer 3,DHCP,High,show running-config,Configure ip helper-address,PC receives DHCP address
CASE-021,DNS server incorrect,PC can ping IP but cannot resolve hostname,PC uses internal DNS server,DNS server address is incorrect,Incorrect DNS server configuration,Layer 7,DNS,Medium,ipconfig /all,Configure correct DNS server,Hostname resolution works
CASE-022,DNS record missing,Server hostname cannot be resolved,PC and DNS server connected,Required DNS record is absent,DNS record missing,Layer 7,DNS,Medium,show running-config,Add correct DNS record,Hostname resolves
CASE-023,DNS connectivity failure,PC cannot resolve names and cannot reach DNS server,PC connected to DNS server through router,DNS server is unreachable,DNS server connectivity issue,Layer 3,DNS,High,ping DNS server,Restore network path to DNS server,DNS queries succeed
CASE-024,ACL denies traffic,PC can reach gateway but not server,Router ACL between PC and server,ACL contains deny rule for required traffic,ACL blocking traffic,Layer 3,ACL,High,show access-lists,Correct or remove incorrect ACL entry,Server becomes reachable
CASE-025,ACL applied wrong interface,Unexpected traffic is blocked,Router has ACL configured,ACL is applied inbound instead of intended interface,Incorrect ACL placement,Layer 3,ACL,High,show running-config,Apply ACL to correct interface/direction,Expected traffic passes
CASE-026,ACL blocks DNS,Web access fails by hostname but IP works,Router filters DNS traffic,ACL denies UDP/TCP DNS traffic,DNS traffic blocked by ACL,Layer 4,ACL,High,show access-lists,Permit required DNS traffic,DNS resolution works
CASE-027,ACL blocks SSH,Administrator cannot remotely access router,Management PC connects through router,ACL denies TCP port 22,SSH traffic blocked by ACL,Layer 4,ACL,Medium,show access-lists,Permit authorized SSH traffic,SSH connection works
CASE-028,NAT not translating,Inside PC cannot access external server,LAN connected to edge router,NAT translation is not occurring,NAT configuration issue,Layer 3,NAT,High,show ip nat translations,Correct NAT inside/outside or translation rule,External server reachable
CASE-029,NAT inside interface missing,Internal hosts cannot access outside network,R1 has LAN and WAN interfaces,LAN interface is not marked ip nat inside,NAT inside interface missing,Layer 3,NAT,High,show running-config,Mark LAN interface as ip nat inside,Translation works
CASE-030,NAT outside interface missing,Internal hosts cannot access external server,R1 connects LAN to ISP,External interface is not marked ip nat outside,NAT outside interface missing,Layer 3,NAT,High,show running-config,Mark WAN interface as ip nat outside,Translation works
CASE-031,NAT ACL incorrect,Some internal hosts cannot access internet,R1 uses ACL for NAT,ACL does not match internal subnet,Incorrect NAT ACL,Layer 3,NAT,High,show access-lists,Correct NAT ACL network,Internal hosts are translated
CASE-032,Wireless wrong SSID,Client cannot connect to expected wireless network,Wireless client connects to access point,Client attempts to use incorrect SSID,Incorrect SSID,Layer 2,Wireless,Medium,show running-config,Use configured SSID,Client connects
CASE-033,Wireless authentication failure,Client sees SSID but cannot authenticate,Wireless AP configured with security,Client uses incorrect security key,Wireless authentication failure,Layer 2,Wireless,Medium,show running-config,Use correct wireless security settings,Client authenticates
CASE-034,Wireless VLAN mismatch,Wireless client connects but cannot reach internal resources,AP connects wireless clients to VLAN 20,Wireless VLAN mapping does not match expected VLAN,Wireless VLAN mapping issue,Layer 2,Wireless,High,show vlan brief,Correct wireless VLAN mapping,Client reaches intended network
CASE-035,Wireless gateway issue,Wireless client receives IP but cannot reach remote network,Wireless clients use VLAN 30,Client receives incorrect default gateway,Wireless gateway misconfiguration,Layer 3,Wireless,High,ipconfig /all,Configure correct gateway,Distant network becomes reachable
